step,leaf_id,abstract_state,env_action,silver_class,g_value
362,28,13,8,5,31.92952537536621
363,11,3,8,7,31.811450958251957
364,11,3,6,7,28.02250862121582
365,26,11,8,5,31.773473739624023
366,26,11,8,5,31.349496841430664
367,11,3,8,7,31.235858917236328
368,11,3,8,7,31.119461059570312
369,26,11,1,5,28.897167205810547
370,11,3,2,7,30.931961059570312
371,11,3,2,7,30.804161071777344
372,28,13,0,5,13.197223663330078
373,11,3,7,7,30.813068389892575
374,11,3,10,7,30.431156158447266
375,11,3,7,7,30.11045265197754
376,42,20,5,8,28.58898354
377,73,35,7,5,30.84006118774414
378,73,35,7,5,30.28603744506836
379,73,35,7,5,31.10786247253418
380,73,35,10,5,30.195526123046875
381,73,35,7,5,30.37393569946289
382,73,35,8,5,28.884450912475582
383,11,3,6,7,27.804431915283203
384,31,14,5,2,30.580730438232425
385,11,3,5,7,30.58263588
386,11,3,7,7,30.71343421936035
387,31,14,10,2,30.667524337768555
388,35,16,7,9,31.11220932006836
389,73,35,10,5,30.990522384643555
390,73,35,10,5,30.61743164
391,35,16,7,9,31.282873153686523
392,71,34,3,1,29.49102783203125
393,73,35,5,5,31.120296478271484
394,73,35,5,5,31.425853729248047
395,73,35,7,5,30.87008285522461
396,73,35,2,5,27.301023483276367
397,12,4,3,6,29.02593421936035
398,37,18,6,5,27.9614315
399,35,16,1,9,30.83594512939453
400,31,14,7,2,30.80307388305664
401,35,16,1,9,31.123689651489254
402,35,16,7,9,30.653003692626957
403,12,4,10,6,30.65950965881348
404,35,16,1,9,30.77709579467773
405,73,35,7,5,30.80920791625977
406,35,16,1,9,30.90339469909668
407,35,16,7,9,30.57373047
408,12,4,1,6,30.423192977905277
409,35,16,1,9,30.599010467529297
410,35,16,7,9,30.515792846679688
411,35,16,3,9,29.978309631347656
412,35,16,5,9,30.93920326
413,12,4,2,6,27.793684005737305
414,37,18,6,5,30.11615753173828
415,12,4,5,6,30.19025993347168
416,12,4,5,6,30.27140617370605
417,31,14,5,2,30.328710556030277
418,31,14,3,2,30.322288513183597
419,12,4,5,6,30.49869155883789
420,36,17,5,7,30.56923484802246
421,12,4,3,6,30.50545310974121
422,35,16,5,9,30.397294998168945
423,12,4,5,6,30.535194396972656
424,37,18,3,5,30.554908752441406
425,12,4,5,6,30.06439971923828
426,36,17,3,7,30.58260726928711
427,12,4,5,6,30.51888656616211
428,35,16,6,9,30.025909423828125
429,35,16,3,9,30.85609436035156
430,31,14,2,2,30.24368095397949
431,35,16,6,9,31.40505599975586
432,12,4,6,6,31.10223388671875
433,31,14,6,2,31.504404067993164
434,31,14,6,2,31.15094566345215
435,31,14,6,2,31.358720779418945
436,12,4,6,6,31.15682029724121
437,31,14,6,2,31.61236572265625
438,12,4,6,6,31.39397621154785
439,31,14,6,2,31.615095138549805
440,12,4,4,6,27.952482223510746
441,31,14,2,2,31.74076271057129
442,12,4,2,6,31.55031013488769
443,12,4,2,6,31.0048942565918
444,21,10,6,8,31.99136734008789
445,31,14,6,2,31.61086082458496
446,31,14,6,2,31.833969116210938
447,12,4,6,6,31.62338638305664
448,31,14,6,2,31.85470390319824
449,12,4,6,6,31.46998786926269
450,31,14,7,2,31.73221206665039
451,12,4,11,6,31.083227157592773
452,11,3,11,7,30.974123001098636
453,42,20,6,8,33.981842041015625
454,42,20,6,8,33.38719559
455,42,20,6,8,33.12346649169922
456,42,20,6,8,32.44362258911133
457,42,20,6,8,31.731769561767575
458,42,20,11,8,31.429462432861328
459,42,20,7,8,32.05133819580078
460,11,3,11,7,31.954225540161133
461,28,13,11,5,31.99991607666016
462,42,20,2,8,29.37653160095215
463,42,20,6,8,31.19133949279785
464,42,20,7,8,30.93024635314941
465,26,11,11,5,30.947650909423828
466,26,11,11,5,31.80304336547852
467,45,21,7,5,31.769989013671875
468,42,20,11,8,32.21078109741211
469,27,12,11,2,32.27012634277344
470,42,20,11,8,32.08876419067383
471,42,20,11,8,31.863842010498047
472,42,20,7,8,31.65521049499512
473,42,20,11,8,31.515872955322266
474,11,3,11,7,31.516855239868164
475,45,21,7,5,31.942846298217773
476,11,3,11,7,31.94753646850586
477,26,11,4,5,26.190792083740234
478,42,20,8,8,26.331588745117188
479,42,20,11,8,31.785966873168945
480,11,3,11,7,32.091304779052734
481,42,20,3,8,28.49066925048828
482,42,20,11,8,31.093618392944336
483,42,20,11,8,30.464990615844727
484,46,22,7,2,31.512603759765625
485,11,3,11,7,30.786081314086918
486,11,3,11,7,31.609472274780277
487,46,22,11,2,31.440134048461918
488,42,20,11,8,31.217060089111328
489,42,20,11,8,30.48286819458008
490,42,20,7,8,30.62360954284668
491,42,20,7,8,29.79255104064941
492,27,12,7,2,30.63826942443848
493,11,3,1,7,29.275480270385746
494,11,3,7,7,29.20047187805176
495,26,11,7,5,30.209651947021484
496,28,13,7,5,29.44122695922852
497,27,12,7,2,30.18568420410156
498,11,3,1,7,29.52109909057617
499,11,3,7,7,29.15837860107422
500,28,13,7,5,30.240177154541016
501,11,3,0,7,17.413908004760742
502,26,11,1,5,30.145124435424805
503,11,3,7,7,29.57038116455078
504,13,5,1,7,29.47072029113769
505,31,14,1,2,30.166967391967773
506,31,14,7,2,29.868541717529297
507,31,14,1,2,30.257604598999023
508,35,16,7,9,29.71646881103516
509,13,5,1,7,29.85681152
510,31,14,1,2,30.21784400939941
511,35,16,7,9,30.142919540405277
512,35,16,1,9,30.30798912
513,31,14,7,2,30.09496498
514,11,3,3,7,29.952943801879883
515,31,14,1,2,29.690166473388672
516,37,18,7,5,30.26434135437012
517,35,16,1,9,30.30682945251465
518,31,14,7,2,30.135425567626957
519,11,3,3,7,30.16160774230957
520,31,14,9,2,29.75225067138672
521,31,14,11,2,33.26527404785156
522,46,22,11,2,33.12167739868164
523,53,25,11,3,32.13734055
524,53,25,3,3,31.890199661254883
525,53,25,3,3,31.00592994689941
526,53,25,3,3,31.912904739379883
527,53,25,3,3,30.69294166564941
528,42,20,3,8,31.43054962158203
529,26,11,3,5,32.52655792236328
530,11,3,3,7,31.43238067626953
531,26,11,3,5,32.39542770385742
532,11,3,3,7,31.13778305053711
533,11,3,3,7,31.66778945922852
534,26,11,3,5,32.525386810302734
535,11,3,3,7,31.53659439086914
536,35,16,3,9,32.39427947998047
537,11,3,10,7,31.221864700317383
538,6,1,3,0,31.643783569335938
539,66,32,3,6,33.48527526855469
540,66,32,3,6,32.26596450805664
541,66,32,3,6,32.73418426513672
542,66,32,3,6,31.30145835876465
543,71,34,3,1,31.641260147094727
544,71,34,3,1,32.296409606933594
545,71,34,3,1,30.69186019897461
546,31,14,3,2,31.53973197937012
547,11,3,10,7,31.25010871887207
548,11,3,3,7,31.297592163085938
549,66,32,3,6,31.582910537719727
550,66,32,10,6,30.66869354248047
551,31,14,3,2,31.332035064697266
552,64,31,3,11,31.128602981567383
553,71,34,3,1,31.14179039001465
554,71,34,3,1,31.772436141967773
555,71,34,3,1,30.54294204711914
556,71,34,3,1,31.26568031311035
557,71,34,10,1,30.340017318725582
558,12,4,3,6,30.533021926879883
559,71,34,3,1,31.180776596069336
560,71,34,3,1,29.87248420715332
561,71,34,7,1,30.551664352416992
562,12,4,4,6,30.733776092529297
563,31,14,10,2,31.15021514892578
564,12,4,2,6,29.99643325805664
565,66,32,2,6,29.88201332092285
566,66,32,7,6,30.46783447265625
567,66,32,4,6,31.096031188964844
568,12,4,10,6,32.02739715576172
569,31,14,2,2,30.182727813720703
570,66,32,2,6,29.90805435180664
571,66,32,7,6,30.635129928588867
572,66,32,4,6,30.266563415527344
573,71,34,10,1,30.923553466796875
574,12,4,2,6,30.009292602539062
575,71,34,4,1,30.19658470153809
576,31,14,0,2,20.466123580932617
577,12,4,7,6,30.779088973999023
578,12,4,4,6,30.72884559631348
579,12,4,10,6,32.16361618041992
580,31,14,2,2,30.334571838378903
581,71,34,2,1,30.19970321655273
582,31,14,7,2,31.02803421020508
583,12,4,4,6,30.09419250488281
584,31,14,11,2,29.52694320678711
585,11,3,4,7,33.24246597290039
586,42,20,4,8,32.478153228759766
587,42,20,4,8,31.765905380249023
588,42,20,4,8,30.91209602355957
589,42,20,4,8,29.76307487487793
590,42,20,7,8,30.40569305419922
591,21,10,4,8,29.793920516967773
592,11,3,10,7,31.00892639160156
593,26,11,4,5,26.964942932128903
594,42,20,7,8,30.377450942993164
595,42,20,0,8,19.54289054870605
596,27,12,7,2,30.89100456237793
597,11,3,7,7,29.57668876647949
598,11,3,7,7,30.05282020568848
599,26,11,7,5,30.909177780151367
600,11,3,7,7,29.820316314697266
601,27,12,7,2,30.52598190307617
602,11,3,7,7,29.22429084777832
603,11,3,7,7,29.70152282714844
604,31,14,7,2,30.61066055297852
