step,algo,q_type,exp_type,env_action,reference_action,alt_action,match,summary,weighted_resource_diff,weighted_network_diff,weighted_security_diff,best_weighted_q_resource,best_weighted_q_network,best_weighted_q_security,alt_weighted_q_resource,alt_weighted_q_network,alt_weighted_q_security,prob_action_0,prob_action_1,prob_action_2,prob_action_3,prob_action_4,prob_action_5,prob_action_6,prob_action_7,prob_action_8,prob_action_9,prob_action_10,prob_action_11,max_prob,max_prob_action,policy_entropy,feat_vim0_cpu,feat_vim0_ram,feat_vim1_cpu,feat_vim1_ram,feat_max_apt_score,feat_mean_apt_score,feat_max_dataleak_score,feat_mean_dataleak_score,feat_max_dos_score,feat_mean_dos_score,feat_mean_security_penalty,feat_max_security_penalty,feat_security_penalty_cumul,feat_mean_network_penalty,feat_max_network_penalty,feat_mean_mtd_overhead,feat_min_remaining_mig,feat_mean_remaining_mig,feat_min_remaining_reinst,feat_mean_remaining_reinst,feat_steps_since_last_mtd,feat_total_ues,feat_nb_resources
21,EUPG,MORL_vec,MORL_RDX,5,3,3,0,"Action 5 was executed via stochastic sampling; the highest-probability action (action 3) was not chosen. Relative to the highest-probability action: action 5 is better on Resource, worse on Network, Security. Per-component: Resource: gains 2.693 weighted; Network: loses 22.105 weighted; Security: loses 13.008 weighted.",2.6933105,-22.104706,-13.008062,3.7989655,-24.604925,-3.6907392,1.105655,-2.5002177,9.317324,0.078136,0.127086,0.094119,0.133602,0.065933,0.035391,0.113207,0.066467,0.102652,0.059549,0.032488,0.091371,0.133602,3,2.408686,26.0,192.5,12.0,96.5625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7988955974578857,4.578125,58.775390625,0.007817949168384075,0.01271820068359375,0.0819789320230484,142.0,277.28570556640625,0.0,1026.2857666015625,1.0,28.0,7.0
22,EUPG,MORL_vec,MORL_RDX,4,3,3,0,Action 4 was executed via stochastic sampling; the highest-probability action (action 3) was not chosen. Relative to the highest-probability action: action 4 is worse on all objectives. Per-component: Resource: loses 5.407 weighted; Network: loses 7.674 weighted; Security: loses 11.156 weighted.,-5.407474,-7.6739297,-11.156186,-4.2077804,-9.927192,-1.7103951,1.199694,-2.2532618,9.445791,0.077085,0.12917,0.089041,0.129807,0.062159,0.037152,0.11144,0.067442,0.096457,0.065716,0.03516,0.099371,0.129807,3,2.415339,26.0,192.5,14.0,98.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.578125,61.57421875,0.01549421064555645,0.056610107421875,0.0819789320230484,142.0,277.28570556640625,0.0,1026.2857666015625,0.0,30.0,7.0
23,EUPG,MORL_vec,MORL_RDX,1,3,3,0,"Action 1 was executed via stochastic sampling; the highest-probability action (action 3) was not chosen. Relative to the highest-probability action: action 1 is better on Network, worse on Resource, Security. Per-component: Resource: loses 22.456 weighted; Network: gains 0.023 weighted; Security: loses 12.310 weighted.",-22.456009,0.022830678,-12.309579,-21.57097,-2.8907325,-2.9661589,0.8850384,-2.9135633,9.34342,0.083307,0.128622,0.095679,0.135962,0.053684,0.037391,0.126036,0.072443,0.102142,0.054956,0.035377,0.074402,0.135962,3,2.401744,26.0,192.5,12.0,96.5625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.578125,64.373046875,0.008784158155322075,0.01546478271484375,0.0819789320230484,142.0,277.28570556640625,0.0,1026.142822265625,0.0,32.0,7.0
24,EUPG,MORL_vec,MORL_RDX,11,3,3,0,"Action 11 was executed via stochastic sampling; the highest-probability action (action 3) was not chosen. Relative to the highest-probability action: action 11 is better on Resource, Network, worse on Security. Per-component: Resource: gains 1.473 weighted; Network: gains 12.636 weighted; Security: loses 14.360 weighted.",1.4734296,12.636431,-14.359512,2.306258,9.531075,-5.223934,0.8328285,-3.105356,9.135578,0.078136,0.127086,0.094119,0.133602,0.065933,0.035391,0.113207,0.066466,0.102652,0.059549,0.032488,0.091371,0.133602,3,2.408686,24.0,190.5,14.0,98.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7988955974578857,4.578125,67.171875,0.016252245754003525,0.05548095703125,0.0819789320230484,142.0,277.1428527832031,0.0,1026.142822265625,0.0,32.0,7.0
25,EUPG,MORL_vec,MORL_RDX,11,3,3,0,"Action 11 was executed via stochastic sampling; the highest-probability action (action 3) was not chosen. Relative to the highest-probability action: action 11 is better on Resource, Network, worse on Security. Per-component: Resource: gains 2.056 weighted; Network: gains 12.121 weighted; Security: loses 13.923 weighted.",2.0561655,12.121482,-13.923156,2.3813941,9.592716,-4.9310384,0.32522893,-2.5287652,8.992118,0.076253,0.12501,0.09207,0.14062,0.056597,0.043823,0.133086,0.07123,0.103765,0.052986,0.035984,0.068576,0.14062,3,2.401987,24.0,190.5,14.0,98.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7988955974578857,4.578125,69.970703125,0.008976527489721775,0.016845703125,0.0819789320230484,141.0,277.0,0.0,1026.142822265625,1.0,32.0,7.0
26,EUPG,MORL_vec,MORL_RDX,7,3,3,0,Action 7 was executed via stochastic sampling; the highest-probability action (action 3) was not chosen. Relative to the highest-probability action: action 7 is worse on all objectives. Per-component: Resource: loses 1.214 weighted; Network: loses 1.772 weighted; Security: loses 11.524 weighted.,-1.2139031,-1.7716905,-11.524376,-0.6143158,-3.7815723,-2.1482806,0.5995873,-2.009882,9.376095,0.084781,0.129053,0.096122,0.136637,0.050431,0.037972,0.129378,0.074163,0.101986,0.053689,0.036222,0.069567,0.136637,3,2.398369,24.0,190.5,18.0,102.75,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7988955974578857,4.578125,72.76953125,0.8139381408691406,5.41015625,0.0819789320230484,141.0,277.0,0.0,1026.142822265625,0.0,31.0,7.0
27,EUPG,MORL_vec,MORL_RDX,6,3,3,0,"Action 6 was executed via stochastic sampling; the highest-probability action (action 3) was not chosen. Relative to the highest-probability action: action 6 is better on Resource, Network, worse on Security. Per-component: Resource: gains 7.669 weighted; Network: gains 13.807 weighted; Security: loses 6.213 weighted.",7.6687975,13.806641,-6.2127333,8.460047,11.727055,3.4279802,0.79124916,-2.0795863,9.640714,0.084785,0.129055,0.096125,0.136635,0.050428,0.037969,0.129375,0.074165,0.101985,0.053689,0.036223,0.069568,0.136635,3,2.398366,24.0,190.5,14.0,94.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7988955974578857,4.578125,75.568359375,0.7798102498054504,5.41015625,0.0819789320230484,141.0,276.8571472167969,0.0,1026.142822265625,0.0,30.0,7.0
28,EUPG,MORL_vec,MORL_RDX,4,1,1,0,"Action 4 was executed via stochastic sampling; the highest-probability action (action 1) was not chosen. Relative to the highest-probability action: action 4 is better on Resource, Security, worse on Network. Per-component: Resource: gains 17.593 weighted; Network: loses 7.269 weighted; Security: gains 1.106 weighted.",17.59323,-7.268607,1.1062295,-4.320091,-9.8438835,-1.523581,-21.91332,-2.5752761,-2.6298106,0.076241,0.130104,0.084511,0.126506,0.058806,0.038987,0.109927,0.068472,0.090878,0.071712,0.037958,0.105898,0.130104,1,2.420219,28.0,198.625,12.0,92.5625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7988955974578857,4.578125,78.3671875,0.8071179986000061,5.41015625,0.0819789320230484,141.0,276.8571472167969,0.0,1026.0,0.0,33.0,7.0
29,EUPG,MORL_vec,MORL_RDX,10,3,3,0,Action 10 was executed via stochastic sampling; the highest-probability action (action 3) was not chosen. Relative to the highest-probability action: action 10 is worse on all objectives. Per-component: Resource: loses 7.518 weighted; Network: loses 9.199 weighted; Security: loses 15.536 weighted.,-7.5176163,-9.199279,-15.536411,-6.705539,-12.06297,-6.313839,0.81207734,-2.8636918,9.222572,0.079985,0.12763,0.09467,0.134438,0.061394,0.036103,0.11801,0.068598,0.102467,0.057865,0.03351,0.08533,0.134438,3,2.40709,24.0,190.5,14.0,98.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7988955974578857,4.578125,81.166015625,0.7803693413734436,5.41015625,0.0819789320230484,141.0,276.8571472167969,0.0,1025.857177734375,0.0,32.0,7.0
30,EUPG,MORL_vec,MORL_RDX,8,3,3,0,"Action 8 was executed via stochastic sampling; the highest-probability action (action 3) was not chosen. Relative to the highest-probability action: action 8 is better on Network, worse on Resource, Security. Per-component: Resource: loses 4.294 weighted; Network: gains 3.933 weighted; Security: loses 18.854 weighted.",-4.2938,3.9333892,-18.854338,-3.4209561,1.4258275,-9.493791,0.87284356,-2.5075617,9.360547,0.078286,0.127129,0.094163,0.13367,0.065557,0.035449,0.113607,0.06664,0.102637,0.059409,0.03257,0.090883,0.13367,3,2.408593,24.0,190.5,14.0,98.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,83.96484375,0.008852277882397175,0.0155029296875,0.0819789320230484,141.0,276.71429443359375,0.0,1025.857177734375,0.0,33.0,7.0
