step,algo,q_type,exp_type,env_action,reference_action,alt_action,match,summary,best_q,alt_q,delta
23,A2C,A2C_Q,SingleObjective_PolicyBased,2,2,3,1,"Action 2 was executed and matches the highest-logit action (action 2). TD-trained Q-value vs next-best action 3: +60.1398. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",94.4534912109375,34.31365966796875,60.13983154296875
24,A2C,A2C_Q,SingleObjective_PolicyBased,10,2,2,0,"Action 10 was executed via stochastic sampling; the highest-logit action (action 2) was not chosen. TD-trained Q-value of action 10 vs highest-logit action (action 2): -130.2014. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-35.89175033569336,94.30961608886719,-130.2013702392578
25,A2C,A2C_Q,SingleObjective_PolicyBased,10,2,2,0,"Action 10 was executed via stochastic sampling; the highest-logit action (action 2) was not chosen. TD-trained Q-value of action 10 vs highest-logit action (action 2): -128.7777. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-35.10135269165039,93.6763687133789,-128.77772521972656
26,A2C,A2C_Q,SingleObjective_PolicyBased,2,6,6,0,"Action 2 was executed via stochastic sampling; the highest-logit action (action 6) was not chosen. TD-trained Q-value of action 2 vs highest-logit action (action 6): +74.1054. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",93.48358154296875,19.37821388244629,74.1053695678711
27,A2C,A2C_Q,SingleObjective_PolicyBased,8,6,6,0,"Action 8 was executed via stochastic sampling; the highest-logit action (action 6) was not chosen. TD-trained Q-value of action 8 vs highest-logit action (action 6): -21.6554. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-2.382634401321411,19.272720336914062,-21.65535545349121
28,A2C,A2C_Q,SingleObjective_PolicyBased,0,6,6,0,"Action 0 was executed via stochastic sampling; the highest-logit action (action 6) was not chosen. TD-trained Q-value of action 0 vs highest-logit action (action 6): -41.2880. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-21.941301345825195,19.346723556518555,-41.28802490234375
29,A2C,A2C_Q,SingleObjective_PolicyBased,8,6,6,0,"Action 8 was executed via stochastic sampling; the highest-logit action (action 6) was not chosen. TD-trained Q-value of action 8 vs highest-logit action (action 6): -21.9519. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-2.4548165798187256,19.4970645904541,-21.951881408691406
30,A2C,A2C_Q,SingleObjective_PolicyBased,11,6,6,0,"Action 11 was executed via stochastic sampling; the highest-logit action (action 6) was not chosen. TD-trained Q-value of action 11 vs highest-logit action (action 6): -20.6667. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-1.0794932842254639,19.587177276611328,-20.666669845581055
31,A2C,A2C_Q,SingleObjective_PolicyBased,4,6,6,0,"Action 4 was executed via stochastic sampling; the highest-logit action (action 6) was not chosen. TD-trained Q-value of action 4 vs highest-logit action (action 6): -24.5532. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-4.758073806762695,19.795164108276367,-24.553237915039062
32,A2C,A2C_Q,SingleObjective_PolicyBased,5,6,6,0,"Action 5 was executed via stochastic sampling; the highest-logit action (action 6) was not chosen. TD-trained Q-value of action 5 vs highest-logit action (action 6): -70.5696. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-50.16508102416992,20.404504776000977,-70.56958770751953
33,A2C,A2C_Q,SingleObjective_PolicyBased,9,6,6,0,"Action 9 was executed via stochastic sampling; the highest-logit action (action 6) was not chosen. TD-trained Q-value of action 9 vs highest-logit action (action 6): -33.9424. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-12.94274616241455,20.99960708618164,-33.942352294921875
34,A2C,A2C_Q,SingleObjective_PolicyBased,1,6,6,0,"Action 1 was executed via stochastic sampling; the highest-logit action (action 6) was not chosen. TD-trained Q-value of action 1 vs highest-logit action (action 6): -9.9818. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",11.962543487548828,21.944381713867188,-9.98183822631836
35,A2C,A2C_Q,SingleObjective_PolicyBased,8,6,6,0,"Action 8 was executed via stochastic sampling; the highest-logit action (action 6) was not chosen. TD-trained Q-value of action 8 vs highest-logit action (action 6): -22.9085. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-2.2397167682647705,20.668777465820312,-22.90849494934082
36,A2C,A2C_Q,SingleObjective_PolicyBased,11,6,6,0,"Action 11 was executed via stochastic sampling; the highest-logit action (action 6) was not chosen. TD-trained Q-value of action 11 vs highest-logit action (action 6): -20.7732. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-0.5196031928062439,20.253616333007812,-20.77322006225586
37,A2C,A2C_Q,SingleObjective_PolicyBased,11,6,6,0,"Action 11 was executed via stochastic sampling; the highest-logit action (action 6) was not chosen. TD-trained Q-value of action 11 vs highest-logit action (action 6): -20.4504. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-0.7116627097129822,19.738689422607422,-20.45035171508789
38,A2C,A2C_Q,SingleObjective_PolicyBased,4,6,6,0,"Action 4 was executed via stochastic sampling; the highest-logit action (action 6) was not chosen. TD-trained Q-value of action 4 vs highest-logit action (action 6): -22.5507. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-4.049968242645264,18.500709533691406,-22.550678253173828
39,A2C,A2C_Q,SingleObjective_PolicyBased,6,6,2,1,"Action 6 was executed and matches the highest-logit action (action 6). TD-trained Q-value vs next-best action 2: -77.8159. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",16.814302444458008,94.63020324707031,-77.81590270996094
40,A2C,A2C_Q,SingleObjective_PolicyBased,6,6,2,1,"Action 6 was executed and matches the highest-logit action (action 6). TD-trained Q-value vs next-best action 2: -77.9046. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",17.495807647705078,95.40042877197266,-77.90461730957031
41,A2C,A2C_Q,SingleObjective_PolicyBased,7,6,6,0,"Action 7 was executed via stochastic sampling; the highest-logit action (action 6) was not chosen. TD-trained Q-value of action 7 vs highest-logit action (action 6): -29.3577. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-11.57294750213623,17.78477668762207,-29.357723236083984
42,A2C,A2C_Q,SingleObjective_PolicyBased,7,6,6,0,"Action 7 was executed via stochastic sampling; the highest-logit action (action 6) was not chosen. TD-trained Q-value of action 7 vs highest-logit action (action 6): -27.5076. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-10.171485900878906,17.336151123046875,-27.50763702392578
